client_id,fname,lname,sex,age,bdate,state
1,John,Doe,Male,30,1992-01-15,defendant
2,Jane,Smith,Female,25,1997-05-20,suspect
3,Robert,Johnson,Male,35,1987-08-10,accused
4,Alice,Williams,Female,28,1994-11-05,defendant
5,Michael,Brown,Male,40,1982-07-22,suspect
6,Emily,Jones,Female,32,1989-03-18,accused
7,David,Anderson,Male,27,1995-09-14,defendant
8,Susan,Taylor,Female,22,2000-12-30,suspect
9,Christopher,Clark,Male,33,1988-06-25,accused
10,Emma,Moore,Female,29,1993-04-07,defendant
11,Brian,Hill,Male,31,1991-02-28,suspect
12,Laura,Miller,Female,26,1996-06-12,accused
13,James,Wilson,Male,34,1987-11-19,defendant
14,Karen,Allen,Female,24,1998-08-03,suspect
15,Richard,Scott,Male,38,1984-04-25,accused
16,Olivia,White,Female,27,1995-10-09,defendant
17,Thomas,Turner,Male,29,1993-02-15,suspect
18,Grace,Carter,Female,31,1991-06-30,accused
19,Andrew,Cooper,Male,26,1996-09-18,defendant
20,Mia,Bell,Female,23,1999-03-05,suspect
21,Isaac,Rogers,Male,36,1986-07-14,accused
22,Ava,Hill,Female,33,1988-12-22,defendant
23,Ethan,Roberts,Male,28,1994-05-28,suspect
24,Chloe,Johnson,Female,30,1992-08-10,accused
25,Nathan,Evans,Male,25,1997-01-03,defendant
26,Sophia,Hall,Female,37,1985-04-17,suspect
27,William,Green,Male,29,1993-07-09,accused
28,Ella,Turner,Female,24,1998-09-22,defendant
29,Liam,Martin,Male,32,1989-11-15,suspect
30,Scarlett,Smith,Female,26,1995-02-28,accused
31,Henry,Wood,Male,35,1987-06-10,defendant
32,Ava,Brooks,Female,30,1992-03-15,suspect
33,Jack,Fisher,Male,28,1994-10-28,accused
34,Emily,Reed,Female,27,1995-09-14,defendant
35,Aiden,Collins,Male,33,1988-04-07,suspect
36,Lily,Ward,Female,25,1997-12-30,accused
37,Christopher,Hall,Male,29,1993-02-15,defendant
38,Sofia,Cooper,Female,34,1987-07-20,suspect
39,Owen,Adams,Male,26,1996-09-18,accused
40,Amelia,Hill,Female,31,1991-04-25,defendant
