client_id,fname,lname,sex,age,phone_number,email,address,bdate,state
CLI01,John,Doe,M,32,111-222-3331,john.doe@email.com,123 Main St,1990-05-15,Accused
CLI02,Jane,Smith,F,28,444-555-6662,jane.smith@email.com,456 Oak St,1994-12-10,Defendant
CLI03,Michael,Johnson,M,35,777-888-9993,michael.johnson@email.com,789 Maple St,1989-08-22,Accused
CLI04,Emily,Williams,F,40,101-112-1314,emily.williams@email.com,101 Pine St,1982-03-18,Suspect
CLI05,Robert,Anderson,M,27,151-162-1735,robert.anderson@email.com,202 Cedar St,1995-11-25,Defendant
CLI06,Alice,Miller,F,36,192-202-2126,alice.miller@email.com,303 Birch St,1986-07-08,Accused
CLI07,Christopher,Brown,M,31,222-232-2427,christopher.brown@email.com,404 Oak St,1991-09-14,Suspect
CLI08,Sophia,Davis,F,29,252-262-2728,sophia.davis@email.com,505 Elm St,1993-06-02,Defendant
CLI09,William,Garcia,M,38,282-292-3039,william.garcia@email.com,606 Pine St,1984-12-31,Accused
CLI10,Olivia,Rodriguez,F,33,313-323-3340,olivia.rodriguez@email.com,707 Maple St,1989-02-17,Accused
CLI11,Liam,Martinez,M,26,343-353-3631,liam.martinez@email.com,808 Cedar St,1996-04-07,Defendant
CLI12,Emma,Hernandez,F,39,373-383-3932,emma.hernandez@email.com,909 Birch St,1983-10-23,Defendant
CLI13,Mason,Smith,M,30,404-414-4243,mason.smith@email.com,1010 Oak St,1992-08-12,Suspect
CLI14,Ava,Johnson,F,25,434-444-4544,ava.johnson@email.com,1111 Elm St,1997-01-28,Suspect
CLI15,James,Brown,M,34,464-474-4845,james.brown@email.com,1212 Pine St,1988-06-09,Accused
CLI16,Sofia,Davis,F,37,494-504-5146,sofia.davis@email.com,1313 Maple St,1985-04-05,Suspect
CLI17,Aiden,Garcia,M,28,525-535-5457,aiden.garcia@email.com,1414 Cedar St,1994-03-14,Defendant
CLI18,Ella,Rodriguez,F,32,555-565-5758,ella.rodriguez@email.com,1515 Birch St,1990-01-19,Accused
CLI19,Logan,Martinez,M,27,585-595-6069,logan.martinez@email.com,1616 Oak St,1995-07-31,Defendant
CLI20,Lily,Hernandez,F,40,616-626-6360,lily.hernandez@email.com,1717 Elm St,1982-09-26,Defendant
CLI21,Connor,Smith,M,29,646-656-6661,connor.smith@email.com,1818 Pine St,1993-11-03,Accused
CLI22,Zoe,Johnson,F,24,676-686-6962,zoe.johnson@email.com,1919 Maple St,1998-05-18,Defendant
CLI23,Noah,Brown,M,33,707-717-7273,noah.brown@email.com,2020 Cedar St,1989-12-08,Suspect
CLI24,Grace,Davis,F,26,737-747-7574,grace.davis@email.com,2121 Birch St,1996-02-01,Defendant
CLI25,Lucas,Garcia,M,31,767-777-7875,lucas.garcia@email.com,2222 Oak St,1991-07-22,Accused
CLI26,Avery,Rodriguez,F,38,797-807-8186,avery.rodriguez@email.com,2323 Elm St,1984-03-17,Defendant
CLI27,Ethan,Martinez,M,25,828-838-8487,ethan.martinez@email.com,2424 Pine St,1997-09-05,Defendant
CLI28,Mia,Hernandez,F,35,858-868-8788,mia.hernandez@email.com,2525 Maple St,1987-01-29,Suspect
CLI29,Jackson,Smith,M,30,888-898-9099,jackson.smith@email.com,2626 Cedar St,1992-04-14,Defendant
CLI30,Aria,Johnson,F,33,919-929-9390,aria.johnson@email.com,2727 Birch St,1989-10-10,Accused
CLI31,Grayson,Williams,M,28,949-959-9691,grayson.williams@email.com,2828 Oak St,1994-08-17,Suspect
CLI32,Luna,Anderson,F,29,979-989-9992,luna.anderson@email.com,2929 Elm St,1993-06-22,Defendant
CLI33,Elijah,Miller,M,34,101-112-1223,elijah.miller@email.com,3030 Pine St,1988-01-09,Defendant
CLI34,Scarlett,Brown,F,31,123-134-1454,scarlett.brown@email.com,3131 Maple St,1991-03-26,Suspect
CLI35,Lincoln,Davis,M,35,145-156-1675,lincoln.davis@email.com,3232 Cedar St,1987-09-10,Defendant
CLI36,Hazel,Garcia,F,26,167-178-1896,hazel.garcia@email.com,3333 Birch St,1996-11-05,Accused
CLI37,Ezra,Rodriguez,M,30,189-200-2117,ezra.rodriguez@email.com,3434 Oak St,1992-04-20,Suspect
CLI38,Layla,Martinez,F,28,211-222-2338,layla.martinez@email.com,3535 Elm St,1994-12-15,Defendant
CLI39,Miles,Hernandez,M,33,233-244-2559,miles.hernandez@email.com,3636 Pine St,1989-07-30,Accused
CLI40,Nova,Smith,F,27,255-266-2770,nova.smith@email.com,3737 Maple St,1995-01-14,Accused
CLI41,Leo,Johnson,M,32,277-288-2991,leo.johnson@email.com,3838 Cedar St,1990-08-31,Defendant
CLI42,Stella,Brown,F,30,299-310-3212,stella.brown@email.com,3939 Birch St,1992-02-16,Accused
CLI43,Eli,Davis,M,25,321-332-3433,eli.davis@email.com,4040 Oak St,1997-06-05,Suspect
CLI44,Penelope,Garcia,F,36,343-354-3654,penelope.garcia@email.com,4141 Elm St,1986-11-20,Defendant
CLI45,Sebastian,Rodriguez,M,29,365-376-3875,sebastian.rodriguez@email.com,4242 Pine St,1993-03-07,Accused
CLI46,Aria,Martinez,F,34,387-398-4096,aria.martinez@email.com,4343 Maple St,1988-09-24,Defendant
CLI47,Max,Hernandez,M,28,409-420-4317,max.hernandez@email.com,4444 Cedar St,1994-05-09,Defendant
CLI48,Adeline,Smith,F,31,431-442-4538,adeline.smith@email.com,4545 Birch St,1990-12-26,Defendant
CLI49,Oscar,Johnson,M,36,453-464-4759,oscar.johnson@email.com,4646 Oak St,1985-04-11,Defendant
CLI50,Aurora,Brown,F,27,475-486-4970,aurora.brown@email.com,4747 Elm St,1994-10-06,Defendant
CLI51,Theo,Davis,M,32,497-508-5191,theo.davis@email.com,4848 Pine St,1990-03-23,Accused
CLI52,Isabella,Garcia,F,28,519-530-5412,isabella.garcia@email.com,4949 Maple St,1993-09-10,Suspect
CLI53,Jacob,Rodriguez,M,33,541-552-5633,jacob.rodriguez@email.com,5050 Cedar St,1989-01-27,Defendant
CLI54,Lily,Martinez,F,26,563-574-5854,lily.martinez@email.com,5151 Birch St,1996-06-14,Accused
CLI55,Caleb,Hernandez,M,31,585-596-6075,caleb.hernandez@email.com,5252 Oak St,1991-12-01,Defendant
CLI56,Nora,Smith,F,35,607-618-6296,nora.smith@email.com,5353 Elm St,1987-04-18,Defendant
CLI57,Levi,Johnson,M,29,629-640-6517,levi.johnson@email.com,5454 Pine St,1993-10-05,Accused
CLI58,Hannah,Brown,F,30,651-662-6738,hannah.brown@email.com,5555 Maple St,1992-02-20,Defendant
CLI59,Eli,Martinez,M,28,673-684-6959,eli.martinez@email.com,5656 Cedar St,1994-08-07,Defendant
CLI60,Aria,Hernandez,F,33,695-706-7170,aria.hernandez@email.com,5757 Birch St,1989-01-14,Accused
CLI61,Jaxon,Williams,M,31,717-728-7391,jaxon.williams@email.com,5858 Oak St,1991-04-30,Defendant
CLI62,Aurora,Anderson,F,28,739-750-7612,aurora.anderson@email.com,5959 Elm St,1993-11-15,Defendant
CLI63,Liam,Miller,M,33,761-772-7833,liam.miller@email.com,6060 Pine St,1989-05-02,Accused
