id,fname,lname,sex,fee,email,phone_number
1,John,Doe,Male,500,johndoe@example.com,123-456-7890
2,Jane,Smith,Female,600,janesmith@example.com,987-654-3210
3,Robert,Johnson,Male,550,robertjohnson@example.com,555-123-4567
4,Alice,Williams,Female,700,alicewilliams@example.com,789-012-3456
5,Michael,Brown,Male,450,michaelbrown@example.com,321-654-0987
6,Emily,Jones,Female,800,emilyjones@example.com,111-222-3333
7,David,Anderson,Male,550,davidanderson@example.com,444-555-6666
8,Susan,Taylor,Female,650,susantaylor@example.com,777-888-9999
9,Christopher,Clark,Male,600,christopherclark@example.com,222-333-4444
10,Emma,Moore,Female,750,emmamoore@example.com,555-666-7777
11,Brian,Hill,Male,500,brianhill@example.com,888-999-0000
12,Laura,Miller,Female,700,lauramiller@example.com,123-456-7890
13,James,Wilson,Male,550,jameswilson@example.com,987-654-3210
14,Karen,Allen,Female,600,karenallen@example.com,555-123-4567
15,Richard,Scott,Male,450,richardscott@example.com,789-012-3456
16,Olivia,White,Female,700,oliviawhite@example.com,321-654-0987
17,Thomas,Turner,Male,600,thomasturner@example.com,111-222-3333
18,Grace,Carter,Female,550,gracecarter@example.com,444-555-6666
19,Andrew,Cooper,Male,500,andrewcooper@example.com,777-888-9999
20,Mia,Bell,Female,650,miabell@example.com,222-333-4444
21,Isaac,Rogers,Male,450,isaacrogers@example.com,555-666-7777
22,Ava,Hill,Female,800,avahill@example.com,888-999-0000
23,Ethan,Roberts,Male,550,ethanroberts@example.com,123-456-7890
24,Chloe,Johnson,Female,600,chloejohnson@example.com,987-654-3210
25,Nathan,Evans,Male,500,nathanevans@example.com,555-123-4567
26,Sophia,Hall,Female,700,sophiahall@example.com,789-012-3456
27,William,Green,Male,450,williamgreen@example.com,321-654-0987
28,Ella,Turner,Female,750,ellaturner@example.com,111-222-3333
29,Liam,Martin,Male,600,liammartin@example.com,444-555-6666
30,Scarlett,Smith,Female,550,scarlettsmith@example.com,777-888-9999
31,Henry,Wood,Male,500,henrywood@example.com,222-333-4444
32,Ava,Brooks,Female,700,avabrooks@example.com,555-666-7777
33,Jack,Fisher,Male,550,jackfisher@example.com,888-999-0000
34,Emily,Reed,Female,450,emilyreed@example.com,123-456-7890
35,Aiden,Collins,Male,650,aidencollins@example.com,987-654-3210
36,Lily,Ward,Female,600,lilyward@example.com,555-123-4567
37,Christopher,Hall,Male,500,christopherhall@example.com,789-012-3456
38,Sofia,Cooper,Female,800,sofiacooper@example.com,321-654-0987
39,Owen,Adams,Male,550,owenadams@example.com,111-222-3333
40,Amelia,Hill,Female,700,ameliahill@example.com,444-555-6666
